,X,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
6199,6199,ndtv: #MyRightToBreathe | Former Delhi CM Sheila Dikshit on Delhi air pollution on The Buck Stops Here… https://t.co/9HCYTeo4uN,FALSE,2,NA,2017-12-06 17:55:19,TRUE,NA,9.3846690090394E+017,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",bdnews24,0,FALSE,FALSE,NA,NA
6200,6200,"#MyRightToBreathe @rashtrapatibhvn @PMOIndia Dear Honourable Sir, how much should a person #Pay4Air2Breathe like pa… https://t.co/bp435qIdlZ",FALSE,1,NA,2017-12-06 17:54:53,TRUE,NA,9.38466789670904E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rvijayagopalan,0,FALSE,FALSE,NA,NA
6201,6201,RT @ndtv: #MyRightToBreathe | Jyoti Pandey Lavakare on The Buck Stops Here https://t.co/pXKqt8ynuF,FALSE,0,NA,2017-12-06 17:54:13,FALSE,NA,9.38466623119389E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply_Awaited,29,TRUE,FALSE,NA,NA
6202,6202,"RT @manya_group: Manya-The Princeton Review coming out in support of #MyRightToBreathe . Delhi demands #cleanair 

#StopPollutionCrime #Del…",FALSE,0,NA,2017-12-06 17:54:07,FALSE,NA,9.38466596523086E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shilpa_irdal,3,TRUE,FALSE,NA,NA
6203,6203,RT @ndtv: #MyRightToBreathe | Former Delhi CM Sheila Dikshit on Delhi air pollution on The Buck Stops Here https://t.co/jS6CFzYDKH,FALSE,0,NA,2017-12-06 17:53:51,FALSE,NA,9.38466529640817E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ajitpratap,15,TRUE,FALSE,NA,NA
6204,6204,RT @ndtv: #MyRightToBreathe | Jyoti Pandey Lavakare on The Buck Stops Here https://t.co/pXKqt8ynuF,FALSE,0,NA,2017-12-06 17:53:36,FALSE,NA,9.38466466369741E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TheTabrezKhan,29,TRUE,FALSE,NA,NA
6205,6205,RT @ndtv: #MyRightToBreathe | Former Delhi CM Sheila Dikshit on Delhi air pollution on The Buck Stops Here https://t.co/jS6CFzYDKH,FALSE,0,NA,2017-12-06 17:53:15,FALSE,NA,9.38466379673379E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",handayash,15,TRUE,FALSE,NA,NA
6206,6206,RT @ndtv: #MyRightToBreathe | Former Delhi CM Sheila Dikshit on Delhi air pollution on The Buck Stops Here https://t.co/jS6CFzYDKH,FALSE,0,NA,2017-12-06 17:52:13,FALSE,NA,9.38466119492387E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NikhilSinghBJP,15,TRUE,FALSE,NA,NA
6207,6207,RT @ndtv: #MyRightToBreathe | Former Delhi CM Sheila Dikshit on Delhi air pollution on The Buck Stops Here https://t.co/jS6CFzYDKH,FALSE,0,NA,2017-12-06 17:52:06,FALSE,NA,9.38466088777605E+017,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Shivashishsen21,15,TRUE,FALSE,NA,NA
6208,6208,RT @ndtv: #MyRightToBreathe | Former Delhi CM Sheila Dikshit on Delhi air pollution on The Buck Stops Here https://t.co/jS6CFzYDKH,FALSE,0,NA,2017-12-06 17:51:42,FALSE,NA,9.38465988537868E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RKKPradhan,15,TRUE,FALSE,NA,NA
